market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,pano,NOTTINGHM 1-3 SER DEV       A  230 KV,high,0.9013,0.8571,1.0,1.0,0.7273,0.9013,True
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,dayzer,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,medium,0.4522,0.4615,0.0,1.0,0.7143,0.3167,False
LENOX 115 KV LENOX-NMESHOPP NML 1090,pano,LENOX-NMESHOPP NML 1090     B  115 KV,high,0.7894,1.0,0.25,1.0,0.7692,0.7167,False
LENOX 115 KV LENOX-NMESHOPP NML 1090,dayzer,LENOX_115 KV_LEN-NME:Lenox-NMeshopp 1090 & Lackawanna-OXBOW DBL,low,0.35,0.4,0.0,1.0,0.0,0.3167,True
EASTON  69 KV   EAS-EMU,pano,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),medium,0.5977,0.75,0.0,1.0,0.7273,0.5977,True
EASTON  69 KV   EAS-EMU,dayzer,EASTON_69 KV_EAS-EMU:ACTUAL,medium,0.6286,0.8571,0.0,1.0,0.5,0.5119,False
SAYRECON230 KV SAY-SAY,pano,LINE    230 KV  REDA-SAY,low,0.4444,0.5,0.0,1.0,0.4444,0.4308,True
SAYRECON230 KV SAY-SAY,dayzer,SAYRECON_230 KV_SAY-SAY:ACTUAL,low,0.4167,0.4,0.0,1.0,0.6667,0.3833,True
MOUN UGI 230 KV MOUN UGI 2 XFORMER,pano,MOUN UGI 230KV - MOUN UGI 69KV (MOUN UGI 230 KV 3),high,0.7167,0.5,1.0,1.0,0.6667,0.6333,False
MOUN UGI 230 KV MOUN UGI 2 XFORMER,dayzer,MOUN UGI_230 KV_2:ACTUAL,medium,0.4607,0.5714,0.0,1.0,0.25,0.4607,True
GRACETON 230 KV GRACETON-SAFEHARB 2303,pano,GRACETON230 KV  GRA-SAF,high,0.7893,0.75,0.8571,1.0,0.5,0.7462,True
