market_constraint,match_source,candidate_constraint,accepted_match,confidence,final_score,model_probability,rule_score,rule_score_v1,rule_score_v2,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,best_score,second_best_score,score_margin,ambiguity_flag,low_score_flag,close_margin_flag
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,pano,NOTTINGHM 1-3 SER DEV       A  230 KV,True,high,0.918232,,0.918232,0.901299,0.918232,0.857143,1.0,1.0,1.0,0.923077,0.727273,0.0,,0.918232,0.918232,0.0,True,False,True
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,dayzer,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,True,low,0.5,,0.5,0.452198,0.5,0.461538,0.0,1.0,1.0,0.5,0.714286,0.0,,0.5,0.411111,0.088889,True,True,False
LENOX 115 KV LENOX-NMESHOPP NML 1090,pano,LENOX-NMESHOPP NML 1090     B  115 KV,True,medium,0.742033,,0.742033,0.789423,0.742033,1.0,0.25,1.0,1.0,0.571429,0.769231,0.0,,0.742033,0.741071,0.0009620000000000184,True,True,True
LENOX 115 KV LENOX-NMESHOPP NML 1090,dayzer,LENOX_115 KV_LEN-NME:Lenox-NMeshopp 1090 & Lackawanna-OXBOW DBL,False,low,0.438571,,0.438571,0.35,0.438571,0.4,0.0,1.0,1.0,0.285714,0.0,0.0,,0.438571,0.386667,0.051904000000000006,True,True,False
EASTON  69 KV   EAS-EMU,pano,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),True,low,0.550833,,0.550833,0.591667,0.550833,0.75,0.0,1.0,1.0,0.6,0.666667,0.0,,0.550833,0.548864,0.0019689999999999985,True,True,True
EASTON  69 KV   EAS-EMU,dayzer,EASTON_69 KV_EAS-EMU:ACTUAL,True,medium,0.807143,,0.807143,0.628571,0.807143,0.857143,0.0,1.0,1.0,1.0,0.5,0.0,,0.807143,0.643333,0.16381,False,False,False
SAYRECON230 KV SAY-SAY,pano,LINE    230 KV  REDA-SAY,False,low,0.413889,,0.413889,0.444444,0.413889,0.5,0.0,1.0,1.0,0.333333,0.444444,0.0,,0.413889,0.399476,0.01441300000000001,True,True,True
SAYRECON230 KV SAY-SAY,dayzer,SAYRECON_230 KV_SAY-SAY:ACTUAL,False,low,0.476667,,0.476667,0.416667,0.476667,0.4,0.0,1.0,1.0,0.666667,0.666667,0.0,,0.476667,0.42381,0.05285699999999999,True,True,False
MOUN UGI 230 KV MOUN UGI 2 XFORMER,pano,MOUN UGI 230KV - MOUN UGI 69KV (MOUN UGI 230 KV 3),True,medium,0.744048,,0.744048,0.716667,0.744048,0.5,1.0,1.0,1.0,0.714286,0.666667,0.0,,0.744048,0.636905,0.10714299999999999,True,True,False
MOUN UGI 230 KV MOUN UGI 2 XFORMER,dayzer,MOUN UGI_230 KV_2:ACTUAL,True,low,0.561429,,0.561429,0.460714,0.561429,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.561429,0.0,True,True,True
GRACETON 230 KV GRACETON-SAFEHARB 2303,pano,GRACETON230 KV  GRA-SAF,True,medium,0.809643,,0.809643,0.789286,0.809643,0.75,0.857143,1.0,1.0,0.8,0.5,0.0,,0.809643,0.750487,0.059155999999999986,False,False,False
GRACETON 230 KV GRACETON-SAFEHARB 2303,dayzer,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,False,low,0.488889,,0.488889,0.372222,0.488889,0.444444,0.0,1.0,1.0,0.5,0.0,0.0,,0.488889,0.488889,0.0,True,True,True
94 HAURD-11323 11323 B 138 KV,pano,94 HAURD-11323    11323     A  138 KV,True,medium,0.833333,,0.833333,0.85,0.833333,1.0,0.571429,1.0,1.0,0.666667,0.571429,0.0,,0.833333,0.833333,0.0,True,False,True
94 HAURD-11323 11323 B 138 KV,dayzer,94 HAURD_138 KV_96101:ACTUAL,True,low,0.616667,,0.616667,0.483333,0.616667,0.666667,0.0,1.0,1.0,0.333333,0.0,0.0,,0.616667,0.616667,0.0,True,True,True
BERGEN 230 KV BER-HUD,pano,BERGEN  230 KV  BER-HUD,True,low,0.67,,0.67,0.73,0.67,1.0,0.0,1.0,1.0,0.6,0.8,0.0,,0.67,0.550833,0.11916700000000002,True,True,False
BERGEN 230 KV BER-HUD,dayzer,BERGEN_230 KV_BER-HUD:ACTUAL,True,medium,0.807143,,0.807143,0.628571,0.807143,0.857143,0.0,1.0,1.0,1.0,0.5,0.0,,0.807143,0.643333,0.16381,False,False,False
