market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,NOTTINGHM 1-3 SER DEV       A  230 KV,high,medium,0.9013,0.4522,True,False
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-NME:Lenox-NMeshopp 1090 & Lackawanna-OXBOW DBL,LENOX-NMESHOPP NML 1090     B  115 KV,high,low,0.7894,0.35,False,True
EASTON  69 KV   EAS-EMU,EASTON_69 KV_EAS-EMU:ACTUAL,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),medium,medium,0.5977,0.6286,True,False
SAYRECON230 KV SAY-SAY,SAYRECON_230 KV_SAY-SAY:ACTUAL,LINE    230 KV  REDA-SAY,low,low,0.4444,0.4167,True,True
MOUN UGI 230 KV MOUN UGI 2 XFORMER,MOUN UGI_230 KV_2:ACTUAL,MOUN UGI 230KV - MOUN UGI 69KV (MOUN UGI 230 KV 3),high,medium,0.7167,0.4607,False,True
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:ACTUAL,GRACETON230 KV  GRA-SAF,high,low,0.7893,0.3722,True,True
94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:ACTUAL,94 HAURD-11323    11323     A  138 KV,high,medium,0.85,0.4833,True,True
BERGEN 230 KV BER-HUD,BERGEN_230 KV_BER-HUD:ACTUAL,BERGEN  230 KV  BER-HUD,high,medium,0.73,0.6286,False,False
LINE 69 KV MONR AE-VINELAND 0711-1,MONR AE_69 KV_MON-VINE:L69.Sherman-Vineland.0761,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE),high,medium,0.9295,0.6,True,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:ACTUAL,GARDNERS-TEXSEAST GAR-TEX   A  115 KV,high,medium,0.9159,0.5015,True,True
RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA),high,medium,0.8477,0.6036,False,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,low,0.6962,0.42,False,True
94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:ACTUAL,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323),high,low,0.7071,0.4,True,True
BERWICK 69 KV BERWICK-KOONSVIL,HUNLOCK_69 KV_HUN-KOO:ACTUAL,BERWICK 69 KV   BER-KOO,medium,low,0.6619,0.3194,True,True
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,medium,0.7333,0.5033,False,False
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,high,low,0.7077,0.45,True,True
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),high,medium,0.835,0.5786,False,False
DOEX530 345 KV  203T,DOEX530_345 KV_203T:ACTUAL,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T),medium,medium,0.5333,0.6167,False,False
DOEX530 345 KV  208T,DOEX530_345 KV_208T:ACTUAL,DOEX530 345 KV  208T,high,medium,0.7,0.6167,False,False
BOONETWN230 KV  BOO-SRE,BOONETWN_230 KV_BOO-SRE:500/230.Conastone.500-4,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE),high,medium,0.71,0.469,False,True
23 COLLI 345 KV 23 COLLINS 45TR92 CT,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,23 COLLINS  45TR92 CT       H  345 KV,high,medium,0.7477,0.4577,True,True
ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:Perry.U1,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),high,medium,0.8417,0.55,True,True
94 HAURD138 KV 96101,BERGEN_138 KV_REAC1339:ACTUAL,94 HAURD138 KV  11323,high,low,0.7,0.2,True,True
PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TAN:ACTUAL,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,medium,0.9278,0.5472,False,True
TMI 500 KV TMI 1 BANK XFORMER,TMI_500 KV_1 BANK:500/230.Conastone.500-4,TMI     500 KV  1 BANK,high,medium,0.7595,0.5119,True,True
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,high,low,0.9,0.3375,True,True
LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE),high,medium,0.9278,0.6194,False,False
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,high,low,0.9,0.4357,False,True
