market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
0,10002384305,NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,low,0.5,True,NOTTINGHM 1-3 SER DEV       A  230 KV,high,0.918232,True
1,10000566138,LENOX 115 KV LENOX-NMESHOPP NML 1090,,low,0.438571,True,LENOX-NMESHOPP NML 1090     B  115 KV,medium,0.742033,True
2,10004072634,EASTON  69 KV   EAS-EMU,EASTON_69 KV_EAS-EMU:ACTUAL,medium,0.807143,False,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),low,0.550833,True
3,10001822928,SAYRECON230 KV SAY-SAY,,low,0.476667,True,,low,0.413889,True
4,10000465752,MOUN UGI 230 KV MOUN UGI 2 XFORMER,MOUN UGI_230 KV_2:ACTUAL,low,0.561429,True,MOUN UGI 230KV - MOUN UGI 69KV (MOUN UGI 230 KV 3),medium,0.744048,True
5,10000565711,GRACETON 230 KV GRACETON-SAFEHARB 2303,,low,0.488889,True,GRACETON230 KV  GRA-SAF,medium,0.809643,False
6,10002848522,94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:ACTUAL,low,0.616667,True,94 HAURD-11323    11323     A  138 KV,medium,0.833333,True
7,10002485877,BERGEN 230 KV BER-HUD,BERGEN_230 KV_BER-HUD:ACTUAL,medium,0.807143,False,BERGEN  230 KV  BER-HUD,low,0.67,True
8,10002510696,LINE 69 KV MONR AE-VINELAND 0711-1,MONR AE_69 KV_MON-VINE:L69.Sherman-Vineland.0761,medium,0.758333,True,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE),high,0.94365,True
9,10000565918,GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:ACTUAL,low,0.629487,True,GARDNERS-TEXSEAST GAR-TEX   A  115 KV,high,0.932773,True
10,10015848492,RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,medium,0.77381,True,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA),high,0.86553,False
11,10017125044,ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],low,0.511364,True,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,0.733791,True
12,10002848522,94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:ACTUAL,low,0.503571,True,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323),medium,0.743571,True
13,10000565443,BERWICK 69 KV BERWICK-KOONSVIL,,low,0.385714,True,BERWICK 69 KV   BER-KOO,low,0.604654,True
14,10016741614,PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,low,0.658333,True,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,medium,0.785294,False
15,10016741627,CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,low,0.606667,True,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV,medium,0.762217,True
16,10016017601,ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,medium,0.767143,False,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),high,0.860357,False
17,10016013601,DOEX530 345 KV  203T,DOEX530_345 KV_203T:ACTUAL,medium,0.77,False,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T),low,0.5,True
18,10016013598,DOEX530 345 KV  208T,DOEX530_345 KV_208T:ACTUAL,medium,0.77,False,DOEX530 345 KV  208T,low,0.658333,True
