dataset,column,row_count,non_null_count,unique_count_including_null,unique_count_excluding_null
dayzer,CID,13813,13813,13813,13813
dayzer,NAME,13813,13813,13777,13777
market,CONSTRAINT,5230,5230,2710,2710
market,CONTINGENCY,5230,5230,1070,1070
market,TOZONE,5230,4203,38,37
market,REPORTEDNAME,5230,5230,2818,2818
market,CONSTRAINTID,5230,5230,2710,2710
market,CONTINGENCYID,5230,5230,1070,1070
pano,PID,21963,21963,21963,21963
pano,Monitored Facility,21963,21963,8968,8968
pano,Contingency Name,21963,21963,5253,5253
pano,Earliest,21963,21963,18307,18307
pano,Latest,21963,21963,18697,18697
