market_record_id,market_index,market_constraint,match_source,candidate_record_id,candidate_index,candidate_constraint,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,rule_score,rule_score_v1,rule_score_v2,best_score,second_best_score,score_margin,ambiguity_flag,manual_label,review_notes
10000566138,1,LENOX 115 KV LENOX-NMESHOPP NML 1090,pano,14856,14855,LENOX-NMESHOPP NML 1090     B  115 KV,1.0,0.25,1.0,1.0,0.571429,0.769231,0.0,,0.742033,0.789423,0.742033,0.742033,0.741071,0.0009620000000000184,True,,
10004072634,2,EASTON  69 KV   EAS-EMU,pano,1920,1919,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),0.75,0.0,1.0,1.0,0.6,0.666667,0.0,,0.550833,0.591667,0.550833,0.550833,0.548864,0.0019689999999999985,True,,
10001822928,3,SAYRECON230 KV SAY-SAY,pano,19518,19517,LINE    230 KV  REDA-SAY,0.5,0.0,1.0,1.0,0.333333,0.444444,0.0,,0.413889,0.444444,0.413889,0.413889,0.399476,0.01441300000000001,True,,
10000465752,4,MOUN UGI 230 KV MOUN UGI 2 XFORMER,dayzer,519310,2948,MOUN UGI_230 KV_2:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.460714,0.561429,0.561429,0.561429,0.0,True,,
10000565711,5,GRACETON 230 KV GRACETON-SAFEHARB 2303,dayzer,533620,8444,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,0.444444,0.0,1.0,1.0,0.5,0.0,0.0,,0.488889,0.372222,0.488889,0.488889,0.488889,0.0,True,,
10002848522,6,94 HAURD-11323 11323 B 138 KV,dayzer,519190,2849,94 HAURD_138 KV_96101:ACTUAL,0.666667,0.0,1.0,1.0,0.333333,0.0,0.0,,0.616667,0.483333,0.616667,0.616667,0.616667,0.0,True,,
10000565918,9,GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,dayzer,101484,423,GARDNERS_115 KV_GAR-TEX:ACTUAL,0.666667,0.0,1.0,1.0,0.461538,0.181818,0.0,,0.629487,0.501515,0.629487,0.629487,0.597143,0.03234400000000004,True,,
10017125044,11,ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,241560,913,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],0.5,0.0,1.0,1.0,0.363636,0.2,0.0,,0.511364,0.42,0.511364,0.511364,0.511364,0.0,True,,
10002848522,12,94 HAURD-11323 11323 B 138 KV,dayzer,519190,2849,94 HAURD_138 KV_96101:ACTUAL,0.5,0.0,1.0,1.0,0.285714,0.0,0.0,,0.503571,0.4,0.503571,0.503571,0.503571,0.0,True,,
10000565443,13,BERWICK 69 KV BERWICK-KOONSVIL,dayzer,520156,3529,KOONSVIL_69 KV_XFMR2:ACTUAL,0.285714,0.0,1.0,1.0,0.5,0.25,0.0,,0.385714,0.317857,0.385714,0.385714,0.385714,0.0,True,,
10000565443,13,BERWICK 69 KV BERWICK-KOONSVIL,pano,4882,4881,BERWICK 69 KV   BER-KOO,0.857143,0.0,1.0,1.0,0.545455,0.833333,0.0,,0.604654,0.661905,0.604654,0.604654,0.604654,0.0,True,,
10016741627,15,CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,dayzer,521912,4849,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,0.6,0.0,1.0,1.0,0.666667,0.0,0.0,,0.606667,0.45,0.606667,0.606667,0.566084,0.040582999999999925,True,,
10016023276,19,BOONETWN230 KV  BOO-SRE,dayzer,520591,3897,BOONETWN_230 KV_BOO-SRE:ACTUAL,0.571429,0.0,1.0,1.0,0.444444,0.285714,0.0,,0.565873,0.464286,0.565873,0.565873,0.565873,0.0,True,,
10004075314,21,ALLENIM 345 KV  ALL-RPM,dayzer,553488,12017,ALLENIM_345 KV_ALL-RPM:Perry.U1,0.75,0.0,1.0,1.0,0.545455,0.25,0.0,,0.692045,0.55,0.692045,0.692045,0.683333,0.008712000000000053,True,,
10002405459,22,94 HAURD138 KV 96101,dayzer,101064,163,6102_138 KV_6102 4:ACTUAL,0.0,0.0,1.0,1.0,0.666667,0.5,0.0,,0.216667,0.2,0.216667,0.216667,0.2,0.016666999999999987,True,,
10002405459,22,94 HAURD138 KV 96101,pano,11872,11871,94 HAURD138 KV  18623,1.0,0.0,1.0,1.0,0.5,0.4,0.0,,0.645,0.69,0.645,0.645,0.639286,0.005713999999999997,True,,
10002885534,23,PRESTON-TANYARD 6716-5 B 69 KV,dayzer,512880,2461,PRESTON_69 KV_PRE-TAN:ACTUAL,0.75,0.0,1.0,1.0,0.6,0.222222,0.0,,0.6975,0.547222,0.6975,0.6975,0.674242,0.023258,True,,
10000466153,24,TMI 500 KV TMI 1 BANK XFORMER,dayzer,550543,10039,TMI_500 KV_1 BANK:500/230.Conastone.500-4,0.666667,0.0,1.0,1.0,0.666667,0.285714,0.0,,0.65,0.511905,0.65,0.65,0.627778,0.022222000000000075,True,,
10017410690,27,DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,dayzer,511261,1678,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,0.571429,0.0,1.0,1.0,0.5,0.0,0.0,,0.571429,0.435714,0.571429,0.571429,0.571429,0.0,True,,
10000568184,29,945 CRET 345 KV CRETEIPP-STJOHNS,dayzer,550818,10269,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,0.5,0.0,1.0,1.0,0.428571,0.0,0.0,,0.517857,0.4,0.517857,0.517857,0.516667,0.0011900000000000244,True,,
10000467014,30,4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,pano,13127,13126,4 QUAD C345 KV  0403,0.571429,0.0,1.0,1.0,0.363636,0.666667,0.0,,0.458658,0.502381,0.458658,0.458658,0.458658,0.0,True,,
10017408419,32,PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,dayzer,553382,11952,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,0.2,0.0,1.0,1.0,0.363636,0.2,0.0,,0.316364,0.27,0.316364,0.316364,0.298182,0.018181999999999976,True,,
10000565661,33,CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,529402,5532,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,0.666667,0.0,1.0,1.0,0.666667,0.0,0.0,,0.65,0.483333,0.65,0.65,0.633333,0.016666999999999987,True,,
10017304064,34,74 KEWAN B1Z1 DIS              138 KV,dayzer,519671,3147,74 KEWAN_138 KV_L9430:ACTUAL,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.316667,0.388889,0.388889,0.375714,0.013174999999999992,True,,
10004180282,35,4 QUAD C345 KV  TR2 18,pano,13127,13126,4 QUAD C345 KV  0403,0.8,0.0,1.0,1.0,0.444444,0.8,0.0,,0.572222,0.63,0.572222,0.572222,0.572222,0.0,True,,
10004194634,36,FACEROCK69 KV   FAROZBR,dayzer,550517,10020,FACEROCK_69 KV_FAROZBR:500/230.Conastone.500-4,0.4,0.0,1.0,1.0,0.5,0.0,0.0,,0.46,0.35,0.46,0.46,0.46,0.0,True,,
10000569970,37,CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,dayzer,28250023,13696,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,0.444444,0.0,1.0,1.0,0.833333,0.0,0.0,,0.522222,0.372222,0.522222,0.522222,0.505556,0.01666599999999996,True,,
10000565918,38,GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,dayzer,101484,423,GARDNERS_115 KV_GAR-TEX:ACTUAL,0.666667,0.0,1.0,1.0,0.545455,0.222222,0.0,,0.637879,0.505556,0.637879,0.637879,0.623333,0.014545999999999948,True,,
10004212816,39,BENTONHA138 KV  BEN-WES1,pano,2450,2449,BENTONHA138 KV  BEN-RIV2,0.666667,0.0,1.0,1.0,0.5,0.571429,0.0,,0.503571,0.540476,0.503571,0.503571,0.5,0.003570999999999991,True,,
10000567660,40,177 BURN 345 KV BURNHAM-MUNSTER2 TIE,dayzer,529755,5764,177 BURN_345 KV_BUR-SHE1:345L17703 Burnham-Munster 345 kV Tie Line,0.5,0.0,1.0,1.0,0.444444,0.0,1.0,,0.619444,0.4,0.619444,0.619444,0.583929,0.03551499999999996,True,,
10000565661,41,CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,529402,5532,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,0.666667,0.0,1.0,1.0,0.5,0.0,0.0,,0.633333,0.483333,0.633333,0.633333,0.633333,0.0,True,,
10018993331,42,GRACETON_230KVGRA-MANO_1_LN,dayzer,534900,9478,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,0.5,0.0,0.0,0.0,0.545455,0.0,0.0,,0.379545,0.25,0.379545,0.379545,0.379545,0.0,True,,
10018993331,42,GRACETON_230KVGRA-MANO_1_LN,pano,44,43,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),0.444444,1.0,0.0,0.0,0.666667,0.0,0.0,,0.533333,0.472222,0.533333,0.533333,0.483333,0.04999999999999993,True,,
10017125044,43,ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,241560,913,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],0.5,0.0,1.0,1.0,0.5,0.2,0.0,,0.525,0.42,0.525,0.525,0.525,0.0,True,,
10016432828,44,CEDARCRE230 KV  CED-SIL,dayzer,520775,4052,CEDARCRE_230 KV_CED-SIL:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.460714,0.561429,0.561429,0.522222,0.03920699999999999,True,,
10016743579,46,STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,dayzer,521912,4849,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,0.666667,0.0,0.0,0.0,0.727273,0.0,0.0,,0.506061,0.333333,0.506061,0.506061,0.456667,0.04939399999999999,True,,
10016743579,46,STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,pano,5040,5039,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,0.666667,1.0,0.0,0.0,0.75,0.0,0.0,,0.6375,0.583333,0.6375,0.6375,0.6375,0.0,True,,
10003891598,47,FREMNT  138 KV  FRE-WFR1,pano,3316,3315,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),0.75,0.0,1.0,1.0,0.545455,0.666667,0.0,,0.548106,0.591667,0.548106,0.548106,0.5475,0.0006059999999999954,True,,
10016050327,48,PA-CENT CONTINGENCY 1,dayzer,5109442,13172,TRANSFER INTERFACE: PA-CENT:L500.ALBURTIS-JUNIATA.5009,0.4,0.0,0.0,0.0,0.615385,0.5,0.0,,0.321538,0.25,0.321538,0.321538,0.306154,0.015384000000000009,True,,
10016050327,48,PA-CENT CONTINGENCY 1,pano,3490,3489,TRANSFER INTERFACE: PA-CENT,0.571429,1.0,0.0,0.0,0.769231,0.4,0.0,,0.615604,0.575714,0.615604,0.615604,0.608333,0.0072710000000000274,True,,
10018420307,49,74 KEWAN B1Z1 DIS             138 KV,dayzer,519671,3147,74 KEWAN_138 KV_L9430:ACTUAL,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.316667,0.388889,0.388889,0.375714,0.013174999999999992,True,,
10016736777,50,SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,dayzer,553984,12354,SB 71 6_161 KV_62230622:L345.Oakgrove-Louisa (MEC),0.4,0.0,0.0,0.0,0.666667,0.333333,0.0,,0.326667,0.233333,0.326667,0.326667,0.326667,0.0,True,,
10016736777,50,SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,pano,2206,2205,SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622),0.0,1.0,0.0,0.0,0.615385,0.285714,0.0,,0.345055,0.278571,0.345055,0.345055,0.342857,0.0021979999999999777,True,,
10016743581,51,POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,pano,5071,5070,81 TOULO 138KV - 3 POWERT 138KV (81 TOULO 138 KV 0321X),0.0,1.0,1.0,1.0,0.428571,0.181818,0.0,,0.480519,0.418182,0.480519,0.480519,0.479762,0.0007569999999999522,True,,
10002883601,52,12 DRESDEN 45TR81 CT H 345 KV,dayzer,533822,8592,93 LORET_345 KV_11212:L345.12 Dresden-900 Elwood.1222,0.25,0.0,1.0,1.0,0.363636,0.0,0.0,,0.348864,0.275,0.348864,0.348864,0.348864,0.0,True,,
