market_constraint,candidate_constraint,candidate_source,original_weighted_score,match_probability,refined_confidence_label,facility_score,contingency_score,voltage_match,zone_or_token_overlap,ambiguity_flag,manual_label
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGH_230 KV_2-3:TEMP: DBL 5007 & 5012,dayzer,0.355714,0.3017877817153693,reject,0.285714,0.0,1.0,0.2,True,
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 1-3 SER DEV       A  230 KV,pano,0.918232,0.8089236547099208,medium_high,0.857143,1.0,1.0,0.923077,True,
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-MAC:L500.Hopatcong-Lackawanna.5063,dayzer,0.309829,0.19469650906540037,reject,0.222222,0.0,1.0,0.153846,True,
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC),pano,0.602489,0.4162114383593878,reject,0.222222,1.0,1.0,0.588235,True,
EASTON  69 KV   EAS-EMU,EASTON_69 KV_EAS-EMU:ACTUAL,dayzer,0.807143,0.8722538539721282,medium_high,0.857143,0.0,1.0,1.0,False,
EASTON  69 KV   EAS-EMU,EASTON  69 KV   EAS-TRA,pano,0.502273,0.12245763802708974,reject,0.666667,0.0,1.0,0.545455,True,
SAYRECON230 KV SAY-SAY,SAYREVIL_115 KV_SAY-WER:Sayreville #13 230/115 kV Transformer,dayzer,0.210714,0.4496404188650196,reject,0.285714,0.0,0.0,0.25,True,
SAYRECON230 KV SAY-SAY,LINE    115 KV  SAY-WER,pano,0.248718,0.18797143491712484,reject,0.5,0.0,0.0,0.307692,True,
MOUN UGI 230 KV MOUN UGI 2 XFORMER,MOUN UGI_230 KV_2:ACTUAL,dayzer,0.561429,0.2443897398657491,reject,0.571429,0.0,1.0,0.4,True,
MOUN UGI 230 KV MOUN UGI 2 XFORMER,MOUN_UGI_69KVMOU-PLY1_1_LN,pano,0.533333,0.9176127662679987,high,0.444444,1.0,0.0,0.666667,True,
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:L230.Yorkana-BrunnerIsland + Yorkana.T1,dayzer,0.393333,0.08779739189239667,reject,0.333333,0.0,1.0,0.266667,True,
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON230 KV  GRA-SAF,pano,0.809643,0.6551454320852815,uncertain,0.75,0.857143,1.0,0.8,False,
94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:Bergen.CC1,dayzer,0.503571,0.2725354461065753,reject,0.5,0.0,1.0,0.285714,True,
94 HAURD-11323 11323 B 138 KV,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323),pano,0.823016,0.57362112903787,uncertain,0.666667,1.0,1.0,0.888889,True,
BERGEN 230 KV BER-HUD,BERGEN_230 KV_BER-HUD:ACTUAL,dayzer,0.807143,0.8722538539721282,medium_high,0.857143,0.0,1.0,1.0,False,
BERGEN 230 KV BER-HUD,BERGEN  230 KV  BER-HOB,pano,0.502273,0.4877312923517796,reject,0.666667,0.0,1.0,0.545455,True,
LINE 69 KV MONR AE-VINELAND 0711-1,MONR AE_69 KV_MON-VINE:L69.Sherman-Vineland.0761,dayzer,0.758333,0.6130691646894918,uncertain,0.833333,0.0,1.0,0.666667,True,
LINE 69 KV MONR AE-VINELAND 0711-1,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE),pano,0.94365,0.8934168911272872,medium_high,0.909091,1.0,1.0,0.941176,True,
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:L500.Hunterstown-Conastone.5013+Cap,dayzer,0.5125,0.35895935074562646,reject,0.5,0.0,1.0,0.375,True,
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS-TEXSEAST GAR-TEX   A  115 KV,pano,0.932773,0.8905136507352986,medium_high,0.888889,1.0,1.0,0.941176,True,
RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,dayzer,0.77381,0.6555336430285988,uncertain,0.857143,0.0,1.0,0.666667,True,
RAMAPO  138 KV  RAM-SMA,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA),pano,0.86553,0.9934615205200679,high,0.75,1.0,1.0,0.833333,False,
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],dayzer,0.511364,0.24967978811654543,reject,0.5,0.0,1.0,0.363636,True,
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,CANYON 230KV - ETOWANDA 230KV (CANYON 230 KV CAN-EAS),pano,0.606456,0.8493991933149034,medium_high,0.25,1.0,1.0,0.571429,True,
