date,pd
2022-01-01,971619.179
2022-01-02,1150370.205
2022-01-03,1167236.202
2022-01-04,1074508.434
2022-01-05,987297.404
2022-01-06,1084373.213
2022-01-07,1194698.551
2022-01-08,997234.925
2022-01-09,955599.059
2022-01-10,1070898.543
2022-01-11,1104167.224
2022-01-12,1022192.564
2022-01-13,989630.899
2022-01-14,970757.972
2022-01-15,1098769.127
2022-01-16,1101320.417
2022-01-17,1065883.453
2022-01-18,986614.6410000001
2022-01-19,971259.504
2022-01-20,1306001.764
2022-01-21,1301392.879
2022-01-22,1195072.341
2022-01-23,1048676.448
2022-01-24,1048974.28
2022-01-25,1038353.838
2022-01-26,1105188.996
2022-01-27,1056377.029
2022-01-28,1083939.738
2022-01-29,1049856.652
2022-01-30,971357.561
2022-01-31,959995.414
2022-02-01,932300.093
2022-02-02,1047426.851
2022-02-03,1436656.274
2022-02-04,1495505.57
2022-02-05,1289247.39
2022-02-06,1149012.537
2022-02-07,1087507.925
2022-02-08,1077791.271
2022-02-09,1021465.86
2022-02-10,989368.481
2022-02-11,965370.347
2022-02-12,1021060.841
2022-02-13,1079113.1
2022-02-14,1027131.21
2022-02-15,972914.648
2022-02-16,931525.409
2022-02-17,1013102.369
2022-02-18,1130669.096
2022-02-19,1019097.804
2022-02-20,941672.315
2022-02-21,960587.462
2022-02-22,994058.208
2022-02-23,1266014.703
2022-02-24,1379225.927
2022-02-25,1368382.972
2022-02-26,1264269.551
2022-02-27,1116791.134
2022-02-28,1086183.4679999999
2022-03-01,995167.949
2022-03-02,945422.887
2022-03-03,929696.988
2022-03-04,934010.5009999999
2022-03-05,926542.693
2022-03-06,940107.251
2022-03-07,1019056.657
2022-03-08,1104896.088
2022-03-09,1069166.305
2022-03-10,1002048.555
2022-03-11,1141984.214
2022-03-12,1126959.4239999999
2022-03-13,979063.055
2022-03-14,966785.429
2022-03-15,920588.99
2022-03-16,940076.178
2022-03-17,932839.611
2022-03-18,920587.051
2022-03-19,903411.236
2022-03-20,890043.594
2022-03-21,958341.157
2022-03-22,960027.678
2022-03-23,957571.356
2022-03-24,953077.055
2022-03-25,959019.059
2022-03-26,923704.377
2022-03-27,944402.099
2022-03-28,1003546.2
2022-03-29,1023769.747
2022-03-30,979429.229
2022-03-31,925786.049
2022-04-01,937886.964
2022-04-02,929783.492
2022-04-03,961791.504
2022-04-04,985939.676
2022-04-05,1090896.171
2022-04-06,1000238.759
2022-04-07,907692.136
2022-04-08,902729.541
2022-04-09,930244.992
2022-04-10,964978.762
2022-04-11,1076036.225
2022-04-12,1098119.652
2022-04-13,1087537.484
2022-04-14,980868.214
2022-04-15,1008803.299
2022-04-16,1033941.401
2022-04-17,995874.374
2022-04-18,997375.863
2022-04-19,955108.73
2022-04-20,1070361.467
2022-04-21,1126097.107
2022-04-22,1125446.962
2022-04-23,1062584.552
2022-04-24,1047617.503
2022-04-25,998959.615
2022-04-26,937590.401
2022-04-27,993732.004
2022-04-28,1063973.179
2022-04-29,1114045.057
2022-04-30,1098739.904
2022-05-01,1085538.222
2022-05-02,1173763.92
2022-05-03,1115386.933
2022-05-04,1158384.925
2022-05-05,1146282.112
2022-05-06,1157580.035
2022-05-07,1235441.329
2022-05-08,1294123.594
2022-05-09,1365081.607
2022-05-10,1338466.72
2022-05-11,1296874.514
2022-05-12,1273070.447
2022-05-13,1251508.978
2022-05-14,1242621.693
2022-05-15,1269719.576
2022-05-16,1309516.974
2022-05-17,1331455.485
2022-05-18,1269482.418
2022-05-19,1352182.003
2022-05-20,1372257.521
2022-05-21,1312918.472
2022-05-22,1049754.59
2022-05-23,1100843.606
2022-05-24,1086607.131
2022-05-25,1026908.451
2022-05-26,1124014.237
2022-05-27,1234203.378
2022-05-28,1255117.055
2022-05-29,1279596.789
2022-05-30,1313301.146
2022-05-31,1392124.578
2022-06-01,1345625.783
2022-06-02,1246862.276
2022-06-03,1213228.241
2022-06-04,1195843.476
2022-06-05,1285273.621
