dataset,file,example_row,zone_name,pd,pg,load_bus_count,gen_bus_count,date,he,interval_start_hour,timestamp,year,month,day_of_week,day_name,is_weekend,id,bus_unique_id,bus_type,base_kv
zone_full_file,zone_load_2022.parquet,1,COAS,11518.576,9877.01,810.0,232.0,2022-01-01,1,0,2022-01-01,2022,1,5,Saturday,True,,,,
zone_full_file,zone_load_2022.parquet,2,EAST,1343.929,5914.732,241.0,36.0,2022-01-01,1,0,2022-01-01,2022,1,5,Saturday,True,,,,
zone_full_file,zone_load_2022.parquet,3,FWES,3837.229,1171.28,531.0,125.0,2022-01-01,1,0,2022-01-01,2022,1,5,Saturday,True,,,,
zone_full_file,zone_load_2022.parquet,4,ISOLATED,0.0,0.0,0.0,0.0,2022-01-01,1,0,2022-01-01,2022,1,5,Saturday,True,,,,
zone_full_file,zone_load_2022.parquet,5,NCEN,9508.056,5675.701,1191.0,109.0,2022-01-01,1,0,2022-01-01,2022,1,5,Saturday,True,,,,
zone_full_file,zone_load_2023.parquet,1,COAS,8584.38,6245.8,829.0,261.0,2023-01-01,1,0,2023-01-01,2023,1,6,Sunday,True,,,,
zone_full_file,zone_load_2023.parquet,2,EAST,1237.98,2322.941,254.0,39.0,2023-01-01,1,0,2023-01-01,2023,1,6,Sunday,True,,,,
zone_full_file,zone_load_2023.parquet,3,FWES,5268.319,3308.752,549.0,140.0,2023-01-01,1,0,2023-01-01,2023,1,6,Sunday,True,,,,
zone_full_file,zone_load_2023.parquet,4,ISOLATED,0.0,0.0,0.0,0.0,2023-01-01,1,0,2023-01-01,2023,1,6,Sunday,True,,,,
zone_full_file,zone_load_2023.parquet,5,NCEN,10075.989,7701.962,1226.0,135.0,2023-01-01,1,0,2023-01-01,2023,1,6,Sunday,True,,,,
zone_full_file,zone_load_2024.parquet,1,COAS,10190.955,8474.681,851.0,285.0,2024-01-01,1,0,2024-01-01,2024,1,0,Monday,False,,,,
zone_full_file,zone_load_2024.parquet,2,EAST,1551.154,4245.197,253.0,45.0,2024-01-01,1,0,2024-01-01,2024,1,0,Monday,False,,,,
zone_full_file,zone_load_2024.parquet,3,FWES,6355.318,3688.815,561.0,149.0,2024-01-01,1,0,2024-01-01,2024,1,0,Monday,False,,,,
zone_full_file,zone_load_2024.parquet,4,ISOLATED,0.0,0.0,0.0,0.0,2024-01-01,1,0,2024-01-01,2024,1,0,Monday,False,,,,
zone_full_file,zone_load_2024.parquet,5,NCEN,11524.625,9219.437,1267.0,159.0,2024-01-01,1,0,2024-01-01,2024,1,0,Monday,False,,,,
zone_full_file,zone_load_2025.parquet,1,COAS,10213.103,10041.319,878.0,326.0,2025-01-01,1,0,2025-01-01,2025,1,2,Wednesday,False,,,,
zone_full_file,zone_load_2025.parquet,2,EAST,1630.242,2450.943,250.0,44.0,2025-01-01,1,0,2025-01-01,2025,1,2,Wednesday,False,,,,
