month,2022,2023,2024,2025
1,4947.673007168459,4783.948797270955,5686.1623430536865,6074.234120071685
2,5136.152912698412,4972.795934027778,4869.505373722861,5754.181194775132
3,4512.805243307911,4731.278518618215,4804.058867354569,5221.389574697174
4,4704.474535493827,4709.634700355432,5139.421071959146,5652.240225925925
5,5714.689462987887,5421.386811081242,5952.8907510454,6178.041165844175
6,6480.9288316358015,6598.936101851851,6859.181046360686,7017.709294290124
7,6856.851918388739,7096.048103195938,6648.045551971327,7196.751842144564
8,6415.479810185186,7504.83895863202,7365.685270908005,7451.980012113055
9,5757.201364660495,6617.585219753087,6328.763637037037,6850.3621570081905
10,4779.142118130227,5259.782379841483,5844.187400777628,6154.025738201912
11,4766.271420987654,4804.414435802469,5196.105551851852,5537.239742129629
12,5027.704248577419,4945.934499476596,5227.017475358423,5610.244584567901
