zone_name,zone_pd,date,he,bus_sum_pd,abs_diff_pd,pct_diff
COAS,11518.576,2022-01-01,1,11518.581,0.005000000001018634,4.340814351547131e-07
EAST,1343.929,2022-01-01,1,1343.9089999999999,0.020000000000209184,1.488173854437934e-05
FWES,3837.229,2022-01-01,1,3837.218,0.010999999999967258,2.866651951178118e-06
ISOLATED,0.0,2022-01-01,1,,,
NCEN,9508.056,2022-01-01,1,9508.059,0.002999999998792191,3.155219109765646e-07
NOTH,859.444,2022-01-01,1,859.444,0.0,0.0
SCEN,6239.188,2022-01-01,1,6239.19,0.001999999999497959,3.2055453361847066e-07
SOUT,3321.925,2022-01-01,1,3321.928,0.0029999999997016857,9.030908282702606e-07
WEST,1321.09,2022-01-01,1,1321.107,0.01700000000005275,1.2868161896655603e-05
COAS,11277.357,2022-01-01,2,11277.359,0.0020000000004074536,1.773465183737159e-07
EAST,1289.001,2022-01-01,2,1289.001,0.0,0.0
FWES,3767.112,2022-01-01,2,3767.114,0.0019999999999527063,5.309106816979974e-07
ISOLATED,0.0,2022-01-01,2,,,
NCEN,9142.962,2022-01-01,2,9142.995,0.03300000000126602,3.6093336055936817e-06
NOTH,850.339,2022-01-01,2,850.342,0.0029999999999290594,3.5280047133308705e-06
SCEN,6025.779,2022-01-01,2,6025.7880000000005,0.009000000000014552,1.493582821410236e-06
SOUT,3276.278,2022-01-01,2,3276.281,0.003000000000156433,9.156732121500169e-07
WEST,1340.11,2022-01-01,2,1340.106,0.0039999999999054126,2.984829603469426e-06
COAS,10939.582,2022-01-01,3,10939.587,0.004999999999199645,4.5705585452896137e-07
EAST,1289.82,2022-01-01,3,1289.821,0.0009999999999763531,7.753019801029238e-07
FWES,3803.643,2022-01-01,3,3803.6440000000002,0.0010000000002037268,2.6290585110214783e-07
ISOLATED,0.0,2022-01-01,3,,,
NCEN,8723.461,2022-01-01,3,8723.461,0.0,0.0
NOTH,853.62,2022-01-01,3,853.618,0.0019999999999527063,2.3429629108417167e-06
SCEN,5743.727,2022-01-01,3,5743.727,0.0,0.0
SOUT,3155.369,2022-01-01,3,3155.358,0.010999999999967258,3.4861215914738523e-06
WEST,1275.86,2022-01-01,3,1275.844,0.015999999999849024,1.2540560876466873e-05
COAS,10783.719,2022-01-01,4,10783.717,0.0019999999985884642,1.8546477320008657e-07
EAST,1237.33,2022-01-01,4,1237.328,0.0019999999999527063,1.616383664788461e-06
FWES,3858.05,2022-01-01,4,3858.046,0.00400000000036016,1.0367931987299697e-06
ISOLATED,0.0,2022-01-01,4,,,
NCEN,8505.949,2022-01-01,4,8505.97,0.020999999998821295,2.4688603233832337e-06
NOTH,834.078,2022-01-01,4,834.073,0.0049999999999954525,5.994643186842781e-06
SCEN,5503.057,2022-01-01,4,5503.048,0.009000000000014552,1.6354546209524182e-06
SOUT,3046.205,2022-01-01,4,3046.207,0.0019999999999527063,6.565546310746342e-07
WEST,1201.22,2022-01-01,4,1201.211,0.009000000000014552,7.492382744222167e-06
COAS,10580.655,2022-01-01,5,10580.652,0.0030000000006111804,2.83536321769416e-07
EAST,1213.15,2022-01-01,5,1213.127,0.023000000000138243,1.8958908626417376e-05
FWES,3915.392,2022-01-01,5,3915.402,0.010000000000218279,2.55402268795009e-06
ISOLATED,0.0,2022-01-01,5,,,
NCEN,8448.537,2022-01-01,5,8448.522,0.014999999999417923,1.775455324326321e-06
NOTH,825.773,2022-01-01,5,825.748,0.024999999999977263,3.0274663860379624e-05
SCEN,5392.599,2022-01-01,5,5392.574,0.025000000000545697,4.635983502675741e-06
SOUT,2972.162,2022-01-01,5,2972.159,0.0029999999997016857,1.0093662457502942e-06
WEST,1084.98,2022-01-01,5,1084.974,0.0060000000000854925,5.530055853642917e-06
COAS,10561.982,2022-01-01,6,10561.98,0.0020000000004074536,1.8935839886940288e-07
EAST,1201.166,2022-01-01,6,1201.169,0.003000000000156433,2.497573191512608e-06
FWES,3864.23,2022-01-01,6,3864.229,0.0010000000002037268,2.587837680996542e-07
ISOLATED,0.0,2022-01-01,6,,,
NCEN,8432.879,2022-01-01,6,8432.878,0.0010000000002037268,1.1858346363130869e-07
NOTH,834.102,2022-01-01,6,834.113,0.011000000000080945,1.3187835540594491e-05
SCEN,5342.16,2022-01-01,6,5342.161,0.0010000000002037268,1.871902002567738e-07
SOUT,2931.146,2022-01-01,6,2931.153,0.006999999999607098,2.3881444321119103e-06
WEST,1106.23,2022-01-01,6,1106.25,0.01999999999998181,1.8079422904804435e-05
COAS,10598.188,2022-01-01,7,10598.194,0.0059999999994033715,5.661345127491012e-07
EAST,1207.447,2022-01-01,7,1207.446,0.0009999999999763531,8.281937012360403e-07
FWES,3818.174,2022-01-01,7,3818.17,0.0039999999999054126,1.0476211927233836e-06
ISOLATED,0.0,2022-01-01,7,,,
NCEN,8455.714,2022-01-01,7,8455.716,0.0020000000004074536,2.3652644831736902e-07
NOTH,858.672,2022-01-01,7,858.662,0.009999999999990905,1.1645890398185692e-05
SCEN,5369.519,2022-01-01,7,5369.515,0.0039999999999054126,7.449456831990747e-07
SOUT,2924.147,2022-01-01,7,2924.145,0.0019999999999527063,6.839601428904587e-07
WEST,1162.95,2022-01-01,7,1162.941,0.009000000000014552,7.738939765264672e-06
COAS,10621.259,2022-01-01,8,10621.268,0.009000000000014552,8.473571730069431e-07
EAST,1218.166,2022-01-01,8,1218.167,0.0009999999999763531,8.209061818966817e-07
FWES,3860.215,2022-01-01,8,3860.226,0.010999999999967258,2.8495822123812424e-06
ISOLATED,0.0,2022-01-01,8,,,
NCEN,8489.158,2022-01-01,8,8489.145,0.01299999999901047,1.531365065771007e-06
NOTH,870.445,2022-01-01,8,870.4399999999999,0.005000000000109139,5.744188317595183e-06
SCEN,5384.575,2022-01-01,8,5384.584,0.009000000000014552,1.6714411072395783e-06
SOUT,2856.775,2022-01-01,8,2856.768,0.007000000000061846,2.4503154781394565e-06
WEST,1150.04,2022-01-01,8,1150.046,0.0060000000000854925,5.21720983625395e-06
COAS,10934.181,2022-01-01,9,10934.195,0.013999999999214197,1.2803885356584272e-06
EAST,1281.8,2022-01-01,9,1281.805,0.005000000000109139,3.900764549936917e-06
FWES,3875.684,2022-01-01,9,3875.674,0.010000000000218279,2.580189716245772e-06
ISOLATED,0.0,2022-01-01,9,,,
NCEN,8818.133,2022-01-01,9,8818.135,0.0020000000004074536,2.2680537937083208e-07
NOTH,888.025,2022-01-01,9,888.043,0.018000000000029104,2.0269699614345435e-05
SCEN,5541.759,2022-01-01,9,5541.758,0.0010000000002037268,1.8044812129212527e-07
SOUT,2846.335,2022-01-01,9,2846.339,0.0039999999999054126,1.405315958910463e-06
WEST,1194.55,2022-01-01,9,1194.533,0.01700000000005275,1.4231300489768323e-05
COAS,11430.362,2022-01-01,10,11430.356,0.0059999999994033715,5.249177584579887e-07
EAST,1384.924,2022-01-01,10,1384.93,0.0060000000000854925,4.332367696772886e-06
FWES,3828.375,2022-01-01,10,3828.377,0.0019999999999527063,5.224148626904904e-07
ISOLATED,0.0,2022-01-01,10,,,
NCEN,9833.891,2022-01-01,10,9833.89,0.0010000000002037268,1.016891482937656e-07
NOTH,944.664,2022-01-01,10,944.663,0.0009999999999763531,1.058577441266263e-06
SCEN,5909.183,2022-01-01,10,5909.182,0.0010000000002037268,1.69228131909898e-07
SOUT,3005.2,2022-01-01,10,3005.209,0.009000000000014552,2.994808997742098e-06
WEST,1310.97,2022-01-01,10,1310.979,0.009000000000014552,6.865145655518091e-06
COAS,12068.519,2022-01-01,11,12068.523,0.003999999998995918,3.314408337092495e-07
EAST,1493.476,2022-01-01,11,1493.49,0.013999999999896318,9.37410443816728e-06
FWES,3880.231,2022-01-01,11,3880.219,0.012000000000170985,3.0925993839467247e-06
ISOLATED,0.0,2022-01-01,11,,,
NCEN,10413.71,2022-01-01,11,10413.719000000001,0.009000000001833541,8.64245307564119e-07
NOTH,1012.02,2022-01-01,11,1012.028,0.008000000000038199,7.904982115015711e-06
SCEN,6307.378,2022-01-01,11,6307.382,0.0039999999999054126,6.341779420712398e-07
SOUT,3255.441,2022-01-01,11,3255.447,0.006000000000312866,1.8430682664231563e-06
WEST,1290.53,2022-01-01,11,1290.547,0.01700000000005275,1.3172882459185568e-05
COAS,12701.689,2022-01-01,12,12701.684,0.005000000001018634,3.93648435339476e-07
EAST,1598.697,2022-01-01,12,1598.704,0.007000000000061846,4.378565794557597e-06
FWES,3878.269,2022-01-01,12,3878.27,0.0010000000002037268,2.578469931311435e-07
ISOLATED,0.0,2022-01-01,12,,,
NCEN,10831.796,2022-01-01,12,10831.802,0.0059999999994033715,5.539247599754807e-07
NOTH,1007.024,2022-01-01,12,1007.016,0.008000000000038199,7.944199939662012e-06
