bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
BI_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,60.062,60.825,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,96.989,48.946,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,601.703,609.352,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,91.342,92.503,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 00:00:00,2022-04-01,1,187.353,189.735,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,88.843,89.973,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,61.256,62.035,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,71.9,72.814,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,100.899,102.182,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,82.653,83.703,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,55.066,55.766,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,89.712,90.853,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,77.439,78.424,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,72.335,73.254,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,147.276,149.148,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,57.365,58.794,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,96.83,49.51,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,594.245,609.043,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,91.008,93.274,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 01:00:00,2022-04-01,2,186.005,190.637,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,88.42,90.622,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,57.257,58.683,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,67.285,68.961,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,99.634,102.115,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,82.058,84.101,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,52.189,53.489,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,89.067,91.285,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,73.324,75.15,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,69.226,70.95,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,145.893,149.526,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,55.704,58.734,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,95.143,49.991,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,593.82,626.125,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,90.147,95.051,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 02:00:00,2022-04-01,3,183.376,193.352,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,87.17,91.912,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,54.96,57.95,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,64.208,67.701,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,97.907,103.233,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,81.004,85.411,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,49.857,52.569,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,87.914,92.697,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,71.331,75.211,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,66.441,70.055,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,143.937,151.768,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,56.3,59.952,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,94.739,50.275,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,585.354,623.327,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,88.576,94.322,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 03:00:00,2022-04-01,4,180.181,191.87,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,85.651,91.208,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,53.689,57.172,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,62.881,66.96,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,96.41,102.664,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,79.489,84.645,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,47.526,50.609,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,86.383,91.986,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,70.715,75.302,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,65.074,69.296,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,141.116,150.27,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,58.361,62.641,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,93.46,49.936,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,581.862,624.531,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,88.417,94.9,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 04:00:00,2022-04-01,5,177.554,190.574,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,84.402,90.592,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,53.318,57.228,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,64.022,68.717,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,97.063,104.181,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,77.506,83.19,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,48.48,52.035,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,84.814,91.034,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,72.771,78.108,baseline_lag_168h,next_day
