bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
BI_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,60.062,53.61603406350365,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,57.365,52.06218214897333,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,55.704,52.08362395241286,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,56.3,53.775363401322146,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,58.361,56.827869794549414,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,62.174,60.28490298577574,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,72.345,67.24892061999529,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,78.016,70.6277297639966,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,80.532,72.47030546706821,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,85.394,74.38998392880556,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,89.579,76.16449783671372,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,92.887,77.03218325339925,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,93.99,77.0795526124464,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,96.157,77.42456013047968,zone_allocated_hgb,next_day
BI_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,96.176,79.33617211245488,zone_allocated_hgb,next_day
