horizon,model,rows,mae,rmse,wmape,level
next_day,baseline_historical_mean,480,17.916854924242426,30.2282818521453,0.13675376937349404,bus
next_day,baseline_lag_168h,480,6.8381625,13.438869040027141,0.05219356306771101,bus
next_day,direct_hgb,480,10.88614125941097,23.798521640826593,0.08309052327830427,bus
next_day,zone_allocated_hgb,480,9.914664745716296,15.031485881745606,0.07567554583570578,bus
next_month,baseline_historical_mean,13914,19.563705369698578,32.49954760240045,0.13477588418728095,bus
next_month,baseline_lag_168h,3285,6.683953424657535,12.709112768995247,0.047998746760829214,bus
next_month,direct_hgb,13914,54.90801206296957,136.95191072815553,0.3782655552671836,bus
next_month,zone_allocated_hgb,13914,24.36527287709441,36.34032377067122,0.16785425528647538,bus
next_day,baseline_historical_mean,96,79.12004971590909,133.2050217449986,0.12077973592372898,zone_aggregated
next_day,baseline_lag_168h,96,20.08941666666667,37.90061039718446,0.030667251203380777,zone_aggregated
next_day,direct_hgb,96,44.97711572362241,71.83869355805,0.06865926120137165,zone_aggregated
next_day,zone_allocated_hgb,96,20.25858045373839,32.27425318105384,0.03092548609584789,zone_aggregated
next_month,baseline_historical_mean,2880,68.59888153813777,124.52610437358557,0.09781795960040557,zone_aggregated
next_month,baseline_lag_168h,2880,549.3039208333333,982.8046868738103,0.7832749970791727,zone_aggregated
next_month,direct_hgb,2880,209.93931160859825,356.0132798152783,0.29936107762995895,zone_aggregated
next_month,zone_allocated_hgb,2880,88.12616102694649,149.56184665549074,0.12566270857171616,zone_aggregated
