feature,importance
lag_24h_pd,0.67891186
rolling_7d_mean_pd,0.2574659
bus_unique_id,0.028375568
zone_total_pd_lag_24h,0.008049369
doy_cos,0.004234788
doy_sin,0.004097314
zone_name,0.0030222093
historical_avg_bus_he_dow_pd,0.0027381938
lag_168h_pd,0.0027001721
rolling_7d_std_pd,0.002692746
dow_cos,0.001663987
zone_total_pd_lag_168h,0.0012936237
dow_sin,0.0012311821
hour_sin,0.0010748595
rolling_28d_mean_pd,0.000889982
hour_cos,0.0008350749
rolling_28d_std_pd,0.0007232288
month_cos,0.0
month_sin,0.0
