feature,importance
zone_name,0.8615336
lag_24h_pd,0.1050968
kmeans_cluster,0.010709262
zone_total_pd_lag_24h,0.005257923
rolling_7d_mean_pd,0.00400055
cluster_avg_load,0.0025511864
lag_168h_pd,0.0014286422
cluster_confidence,0.0010866404
dow_cos,0.00093952514
historical_avg_bus_he_dow_pd,0.00091505307
rolling_7d_std_pd,0.00090777164
doy_sin,0.0009029917
dow_sin,0.0008916397
doy_cos,0.00086935126
rolling_28d_mean_pd,0.00079470786
hour_sin,0.0006667021
zone_total_pd_lag_168h,0.00058601034
hour_cos,0.00048531013
rolling_28d_std_pd,0.0003763137
bus_unique_id,0.0
