fold_name,horizon,model,kmeans_cluster,rows,mae,wmape
validate_2022_to_2023,next_day,baseline_historical_mean,0,24,54.84580811651583,0.43795056303319585
validate_2022_to_2023,next_day,baseline_historical_mean,1,96,52.34905380373303,0.345980609366634
validate_2022_to_2023,next_day,baseline_historical_mean,2,24,402.00507021430366,72.6143366735654
validate_2022_to_2023,next_day,baseline_lag_168h,0,24,62.00033333333334,0.49508033200813556
validate_2022_to_2023,next_day,baseline_lag_168h,1,96,55.6291875,0.3676593709215859
validate_2022_to_2023,next_day,baseline_lag_168h,2,24,1.451125,0.2621172893397959
validate_2022_to_2023,next_day,direct_xgb_cyclical_kmeans,0,24,25.06804612223307,0.20017144956732066
validate_2022_to_2023,next_day,direct_xgb_cyclical_kmeans,1,96,17.32183289972941,0.11448188394129152
validate_2022_to_2023,next_day,direct_xgb_cyclical_kmeans,2,24,111.35754410552978,20.114557745527254
validate_2022_to_2023,next_day,research_lightgbm_cyclical_kmeans,0,24,22.650814749301464,0.1808695580078431
validate_2022_to_2023,next_day,research_lightgbm_cyclical_kmeans,1,96,24.859945063725984,0.16430208985660055
validate_2022_to_2023,next_day,research_lightgbm_cyclical_kmeans,2,24,86.4924372176509,15.623163539931525
validate_2022_to_2023,next_day,research_random_forest_cyclical_kmeans,0,24,13.960940249380444,0.11147983506232245
validate_2022_to_2023,next_day,research_random_forest_cyclical_kmeans,1,96,12.033561479063225,0.07953112102057242
validate_2022_to_2023,next_day,research_random_forest_cyclical_kmeans,2,24,2.285112760781405,0.4127608322451886
validate_2022_to_2023,next_day,zone_allocated_hgb,0,24,58.78884133994535,0.4694361711327425
validate_2022_to_2023,next_day,zone_allocated_hgb,1,96,34.86493612284347,0.23042616759674775
validate_2022_to_2023,next_day,zone_allocated_hgb,2,24,152.61591866044117,27.567074448705394
validate_2022_to_2023,next_month,baseline_historical_mean,0,741,35.98078748164366,0.23563966908637354
validate_2022_to_2023,next_month,baseline_historical_mean,1,2964,43.30821498711604,0.22853762841720254
validate_2022_to_2023,next_month,baseline_historical_mean,2,741,396.7474353568895,67.11059719752339
