feature,coefficient
cluster_avg_load,84.82964961976383
lag_24h_pd,53.80322047658045
zone_total_pd_lag_24h,16.166485322668194
rolling_28d_std_pd,-12.736296749351572
lag_168h_pd,12.052087164276328
zone_total_pd_lag_168h,-9.599419608614955
month_cos,9.253015950952639
rolling_28d_mean_pd,-7.524694815388361
zone_name,7.4658867778507165
doy_cos,-6.037589405374454
doy_sin,-5.854762016085676
month_sin,4.81324117647592
rolling_7d_std_pd,4.811412441993438
rolling_7d_mean_pd,2.1475886221851135
historical_avg_bus_he_dow_pd,-1.8229188958067526
dow_cos,-1.7521036572860758
kmeans_cluster,-1.0479355997292077
dow_sin,-0.6885035133642794
hour_sin,0.46305088883672463
hour_cos,-0.2101606433670116
bus_unique_id,-0.15491844404612187
cluster_confidence,0.0
