feature,coefficient
cluster_avg_load,86.82198195205083
lag_24h_pd,54.267400431917416
zone_total_pd_lag_24h,16.368863887321858
rolling_28d_std_pd,-13.162900525543261
lag_168h_pd,12.866116599087047
zone_total_pd_lag_168h,-9.767106935715987
month_cos,9.564089416869471
zone_name,7.572589257524266
rolling_28d_mean_pd,-7.481191088314989
doy_cos,-6.117316287600743
doy_sin,-5.904466281220911
month_sin,5.030727582132015
rolling_7d_std_pd,5.027198497292096
historical_avg_bus_he_dow_pd,-2.4876887708198683
dow_cos,-1.7487957064362045
kmeans_cluster,-1.0660448571445695
dow_sin,-0.648783993770547
hour_sin,0.4828933900180718
rolling_7d_mean_pd,-0.2583102578435383
hour_cos,-0.18989155633959542
bus_unique_id,-0.1549178383383581
cluster_confidence,0.0
