bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,run_name,forecast_horizon
CHEROKEE_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,96.989,93.1230421501752,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,601.703,648.4283247834552,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,91.342,94.98826598253649,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 00:00:00,2022-04-01,1,187.353,192.66682512139164,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,100.899,105.15930905888088,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,82.653,86.58575427676278,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,89.712,90.7394181337542,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,77.439,86.41169721373994,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,147.276,138.34607860658755,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,96.83,91.84292692961071,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,594.245,645.3371495004961,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,91.008,94.68019594146419,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 01:00:00,2022-04-01,2,186.005,190.7265667242746,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,99.634,104.90457021726284,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,82.058,84.84902231687059,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,89.067,88.97138860942384,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,73.324,80.45067121523348,next_day_lightgbm,next_day_lightgbm,next_day
