review_bucket,dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
high,RIONOG_ST1,RIONOG_22KV_1,1_10075,1_2750,22.0,22.0,0.4556710843416948,0.5548913043478261,1.0,0.9,0.8619650353899921,0.9506148254807943,1.0,1,1.0,0.06331838089034159,seed,0,True,False,high,False,0.08794219568103001,1,1,1.0,0.5
high,SCLPCOGN_2_8,SCLPCOGN_138KV_1,1_7857,1_953,138.0,138.0,0.13643761816718084,0.47857142857142854,1.0,0.8444444444444444,0.8364921466212881,0.9822743455673274,1.0,8,1.0,0.4199434442364406,propagated,1,True,False,high,False,0.2531330730781386,8,8,1.0,0.2222222222222222
high,L_FPPYD15_1Y,FPPYD1_345KV_1,1_3543,1_2098,345.0,345.0,0.44221499031419265,0.46538461538461534,1.0,0.8200000000000001,0.8237857242715508,0.9731257214755166,1.0,5,1.0,0.44364236148886294,propagated,4,True,False,high,False,0.08839216873453182,7,7,1.0,0.1
high,LGDRAW_S8,LGDRAW_S_138KV_1,1_8642,1_8150,138.0,138.0,2.5001194534685838,0.482,1.0,0.8181818181818182,0.798883853156724,0.9051963742728414,1.0,1,1.0,0.11794705850953047,top_ranked_unpropagated,-1,False,False,high,False,0.1638153590410144,2,2,1.0,0.09090909090909091
high,LUFKNSS_3,LFKSW_13KV_1,1_2041,1_6586,13.8,13.8,1.7614551594048602,0.3428571428571428,1.0,0.8500000000000001,0.7804225607876478,0.8919042437671065,1.0,1,1.0,0.3121110846551406,propagated,1,True,False,high,False,0.16782028722096487,1,1,1.0,0.25
high,BCAT_WND_8,BCATWIND_138KV_1,1_8878,1_9883,138.0,138.0,2.363216198352987,0.41538461538461535,1.0,0.8,0.7804120997358727,0.9418967118098283,1.0,2,1.0,0.26036494048207137,propagated,5,True,False,high,False,0.09772908400287694,2,2,1.0,0.0
high,FTLN2A,FTLN_69KV_1,1_3318,1_7721,69.0,69.0,0.09519014495476827,0.2823529411764706,1.0,0.8,0.7791637756717563,0.8909979184836646,1.0,1,1.0,0.4019609163493618,propagated,8,True,False,high,False,0.1836112239868245,2,2,1.0,0.0
high,GALVES__B138,STW_138KV_1,1_6205,1_1496,138.0,138.0,2.1702887293169386,0.3477272727272727,1.0,0.8,0.7660816010272146,0.8815787527395945,1.0,1,1.0,0.13258522093979197,top_ranked_unpropagated,-1,False,False,high,False,0.0774919099259953,4,4,1.0,0.0
high,L_KENDAL1_2,KENDAL_1KV_2,1_7404,1_2182,1.0,1.0,10.909918028641904,0.6695652173913044,1.0,0.8,0.7512575974240706,0.9209054701453309,1.0,2,1.0,0.22134991072334664,propagated,6,True,False,high,False,0.043541542671314826,3,3,1.0,0.0
high,POESTA0B,POESTA_1KV_1,1_7594,1_8448,1.0,1.0,3.801303440341427,0.36,1.0,0.8,0.7480715723314217,0.8686115320786237,1.0,1,1.0,0.16966721671179052,top_ranked_unpropagated,-1,False,False,high,False,0.17435023798389682,3,3,1.0,0.0
