dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
DOWGEN_11_8,,1_7731,,138.0,138.0,1.0708499165291363,0.655,1.0,0.8,0.8581096979440003,0.9478389825196802,1.0,1,1.0,0.029462637188618412,one_to_one_conflict,-1,False,True,ambiguous,True,0.018619405898045782,2,2,1.0,0.0
CBEC_STG1,,1_7946,,13.8,13.8,0.19429328136005108,0.4975,1.0,0.9,0.8514747112544844,0.9430617921032288,1.0,1,1.0,0.012388729474809845,one_to_one_conflict,-1,False,True,ambiguous,True,0.017206568715013693,1,1,1.0,0.5
DOWGEN_7_8,,1_7725,,138.0,138.0,1.0708499165291363,0.625,1.0,0.8,0.8506096979440002,0.9424389825196802,1.0,1,1.0,0.007322637188618364,one_to_one_conflict,-1,False,True,ambiguous,True,0.010170329428636604,2,2,1.0,0.0
DOWGEN_9_8,,1_7729,,138.0,138.0,1.0708499165291363,0.625,1.0,0.8,0.8506096979440002,0.9424389825196802,1.0,1,1.0,0.02982263718861833,one_to_one_conflict,-1,False,True,ambiguous,True,0.041420329428636604,2,2,1.0,0.0
CBEC_STG2,,1_7949,,13.8,13.8,0.3119961408900135,0.4975,1.0,0.9,0.8497313719078281,0.9418065877736362,1.0,1,1.0,0.021933525145217292,one_to_one_conflict,-1,False,True,ambiguous,True,0.030463229368357436,1,1,1.0,0.5
CBEC_GT11,,1_7951,,13.8,13.8,0.19429328136005108,0.4825,1.0,0.9,0.8477247112544843,0.9403617921032288,1.0,1,1.0,0.00968872947480981,one_to_one_conflict,-1,False,True,ambiguous,True,0.013456568715013661,1,1,1.0,0.5
CBEC_GT12,,1_7952,,13.8,13.8,0.3119961408900135,0.4825,1.0,0.9,0.8459813719078281,0.9391065877736363,1.0,1,1.0,0.008433525145217335,one_to_one_conflict,-1,False,True,ambiguous,True,0.011713229368357392,1,1,1.0,0.5
CBY4_CT42,,1_7693,,16.0,16.0,0.11710631902627705,0.45999999999999996,1.0,0.9,0.8432485379006204,0.9371389472884467,1.0,1,1.0,0.011688911255217316,one_to_one_conflict,-1,False,True,ambiguous,True,0.01623459896557955,1,1,1.0,0.5
CBY4_ST04,,1_7694,,16.0,16.0,0.11710631902627705,0.39999999999999997,1.0,0.9,0.8282485379006204,0.9263389472884467,1.0,1,1.0,0.000888911255217284,one_to_one_conflict,-1,False,True,ambiguous,True,0.0012345989655795364,1,1,1.0,0.5
JCKCNTY2_CT3,,1_9280,,18.0,18.0,0.818461779965504,0.5125,1.0,0.8,0.8260958862619742,0.9247890381086215,1.0,1,1.0,0.31403262308286506,one_to_one_conflict,-1,False,True,ambiguous,True,,1,1,1.0,0.0
JCKCNTY2_CT4,,1_9281,,18.0,18.0,0.818461779965504,0.5125,1.0,0.8,0.8260958862619742,0.9247890381086215,1.0,1,1.0,0.3331012406805477,one_to_one_conflict,-1,False,True,ambiguous,True,0.004307278722982755,1,1,1.0,0.0
TXCTY_CTA,,1_7883,,13.8,13.8,0.7969145213298136,0.4053571428571428,1.0,0.9,0.8196205883200575,0.9201268235904414,1.0,1,1.0,0.00023571014483259045,one_to_one_conflict,-1,False,True,ambiguous,True,0.0003273752011564435,1,1,1.0,0.5
TXCTY_CTB,,1_7884,,13.8,13.8,0.7969145213298136,0.4053571428571428,1.0,0.9,0.8196205883200575,0.9201268235904414,1.0,1,1.0,0.00023571014483259045,one_to_one_conflict,-1,False,True,ambiguous,True,0.0003273752011564435,1,1,1.0,0.5
TXCTY_CTC,,1_7885,,13.8,13.8,0.7969145213298136,0.4053571428571428,1.0,0.9,0.8196205883200575,0.9201268235904414,1.0,1,1.0,0.00023571014483259045,one_to_one_conflict,-1,False,True,ambiguous,True,0.0003273752011564435,1,1,1.0,0.5
FORMOSA_16_9,,1_8074,,138.0,138.0,1.2987533879107205,0.4944444444444444,1.0,0.8200000000000001,0.818748873064859,0.9194991886066985,1.0,1,1.0,0.0002202722141028124,one_to_one_conflict,-1,False,True,ambiguous,True,0.00030593363069830737,2,2,1.0,0.1
FORMOSA_13_9,,1_7837,,69.0,69.0,0.9714119618207652,0.46538461538461534,1.0,0.8285714285714286,0.8178374653275222,0.918842975035816,1.0,1,1.0,0.0005095630568742182,one_to_one_conflict,-1,False,True,ambiguous,True,0.0007077264678808648,2,2,1.0,0.14285714285714285
CBECII_CT8,,1_8020,,25.0,25.0,0.7141177248305866,0.4277173913043478,1.0,0.8500000000000001,0.8164065625835655,0.9178127250601672,1.0,1,1.0,0.0002490732551208019,one_to_one_conflict,-1,False,True,ambiguous,True,0.00034593507655666933,1,1,1.0,0.25
GENWAP1_01_8,,1_6972,,138.0,138.0,0.09863254927241003,0.4005434782608695,1.0,0.8200000000000001,0.8126600234788407,0.9151152169047654,1.0,1,1.0,0.02479897241981388,one_to_one_conflict,-1,False,True,ambiguous,True,0.034443017249741525,2,2,1.0,0.1
GENWAP2_02_8,,1_6973,,138.0,138.0,0.09863254927241003,0.4005434782608695,1.0,0.8200000000000001,0.8126600234788407,0.9151152169047654,1.0,1,1.0,0.02479897241981388,one_to_one_conflict,-1,False,True,ambiguous,True,0.034443017249741525,2,2,1.0,0.1
