dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
QALSW_13_1KV,QALSW_1KV_1,1_8498,1_7607,1.0,1.0,0.30885115629925286,0.6695652173913043,1.0,0.875,0.8877941244694532,ambiguous,True,0.012385734332230669,3,3,1.0,0.375
QALSW_11_1KV,,1_8503,,1.0,1.0,0.30885115629925286,0.6695652173913043,1.0,0.875,0.8877941244694532,ambiguous,True,0.012385734332230669,3,3,1.0,0.375
VICTPORT_1_8,VICTPORT_13KV_1,1_8055,1_1580,13.8,13.8,0.033366747228695634,0.6638888888888889,1.0,0.8500000000000001,0.885472138284143,ambiguous,True,0.031250711627917926,1,1,1.0,0.25
DOWGEN_1_8,DOWGEN_138KV_8,1_7711,1_1754,138.0,138.0,1.0708499165291363,0.675,1.0,0.9,0.8831096979440002,ambiguous,True,0.04999175800006517,2,2,1.0,0.5
DUPV1_3_8,DUPV1_138KV_3,1_7914,1_1216,138.0,138.0,0.44819930213303305,0.6363636363636362,1.0,0.9,0.8824426909563434,ambiguous,True,0.030558515849521073,2,2,1.0,0.5
QALSW_15_1KV,QALSW_1KV_3,1_8499,1_7609,1.0,1.0,0.16126573628313473,0.6445652173913043,1.0,0.8666666666666667,0.8820653779664316,ambiguous,True,0.0026889179678799557,2,2,1.0,0.3333333333333333
QALSW_16_1KV,,1_8500,,1.0,1.0,0.16126573628313473,0.6445652173913043,1.0,0.8666666666666667,0.8820653779664316,ambiguous,True,0.0026889179678799557,2,2,1.0,0.3333333333333333
YNG_WND_W1,YNG_WND_34KV_1,1_9482,1_5543,34.5,34.5,0.03811803808383129,0.6249999999999999,1.0,0.8800000000000001,0.8816787739520618,ambiguous,True,0.03141692030342591,1,1,1.0,0.4
YNG_WND_W2,YNG_WND_34KV_2,1_9483,1_5544,34.5,34.5,0.04927039625052228,0.6249999999999999,1.0,0.8800000000000001,0.8815118536486359,ambiguous,True,0.03108307969657409,1,1,1.0,0.4
YNG_WND_W3,YNG_WND_34KV_3,1_9484,1_5545,34.5,34.5,0.05029340420207462,0.6249999999999999,1.0,0.8800000000000001,0.8814965466773242,ambiguous,True,0.018567772725262444,1,1,1.0,0.4
FORMOSA_2,FORMOSA_12KV_2,1_7833,1_1179,12.47,12.47,0.9340924949493737,0.711231884057971,1.0,0.8285714285714286,0.8798330326350429,ambiguous,True,0.04351788220736719,2,2,1.0,0.14285714285714285
DOWGEN_8_8,,1_7727,,138.0,138.0,1.0708499165291363,0.7416666666666666,1.0,0.8,0.8797763646106669,ambiguous,True,0.05496199609530328,2,2,1.0,0.0
NUECES_B_3_8,NUECES_B_138KV_3,1_9658,1_8823,138.0,138.0,0.09412792285876427,0.6714285714285715,1.0,0.8,0.8764485413327142,ambiguous,True,0.029519502446285317,2,2,1.0,0.0
VICTPORT_2_8,VICTPORT_13KV_2,1_8056,1_1581,13.8,13.8,0.03341426836144675,0.6194444444444445,1.0,0.8500000000000001,0.874360315545114,ambiguous,True,0.031249288372082074,1,1,1.0,0.25
L_MARSFO1_2,MARSFO_1KV_2,1_7399,1_2279,1.0,1.0,0.23098815065698303,0.6695652173913044,1.0,0.8,0.8739464136039309,ambiguous,True,0.04395962707270129,3,3,1.0,0.0
WCPP_3_5,WCPP_345KV_3,1_9275,1_6164,345.0,345.0,0.08715636676778456,0.595,1.0,0.875,0.8724454989522128,ambiguous,True,0.02984122192637273,2,2,1.0,0.375
DUPV1_2_8,DUPV1_138KV_2,1_7913,1_1215,138.0,138.0,0.4863138282609546,0.5818181818181818,1.0,0.92,0.8722478114704587,ambiguous,True,0.02944148415047887,2,2,1.0,0.6
