parameter,value,high_confidence_count,variant,matched_buses,unmatched_count,duplicate_pano_assignments,exact_voltage_match_rate,voltage_conflict_rate_gt_1kv,median_distance_km,p90_distance_km,ambiguity_count,ambiguity_rate,name_weight
radius_km,5.0,165,radius_km=5,9116,1683,4420,0.8652917946467749,0.12724879333040806,2.078128845256309,4.429452439978634,7780,0.8534444931987714,
radius_km,10.0,165,radius_km=10,10464,335,4795,0.920775993883792,0.07358562691131498,3.212124251631068,8.325452687635735,8862,0.8469036697247706,
radius_km,20.0,165,radius_km=20,10766,33,4487,0.9674902470741222,0.027493962474456624,3.6270061692277378,12.167381078206132,8890,0.8257477243172952,
radius_km,50.0,165,radius_km=50,10799,0,4490,0.9700898231317715,0.02500231502916937,3.6478546473529843,12.459139067286005,8906,0.8247059912954903,
topology_weight,0.1,31,topology_weight=0.1,10799,0,4456,0.973979072136309,0.02379849986109825,3.5503835432334077,12.437361063330798,8905,0.8246133901287156,0.35
topology_weight,0.2,165,topology_weight=0.2,10799,0,4490,0.9700898231317715,0.02500231502916937,3.6478546473529843,12.459139067286005,8907,0.8247985924622651,0.24999999999999994
topology_weight,0.3,754,topology_weight=0.3,10799,0,4576,0.9549032317807205,0.03602185387535883,3.7471652680813774,12.533616904413897,9052,0.8382257616445967,0.14999999999999997
confidence_threshold,0.65,1288,confidence_threshold=0.65,1288,9511,0,0.9720496894409938,0.0007763975155279503,5.4474741283421535,14.934671683141886,8049,0.7453467913695713,
confidence_threshold,0.75,1251,confidence_threshold=0.75,1251,9548,0,0.9768185451638689,0.0007993605115907274,5.271261988679735,14.698455979578286,8049,0.7453467913695713,
confidence_threshold,0.85,878,confidence_threshold=0.85,878,9921,0,0.9851936218678815,0.0,2.8494189786166046,10.344176612674842,8049,0.7453467913695713,
